bo_design_mode,coverage_error,coverage_weight,design_policy,objective,posterior_mean_predictive_rmse,pred0,predictive_weight,prey0,proposal_reason,psi0_unit,psi1_unit,range_normalized_rmse,replicate,reward_delta_objective,reward_mode,round,simulations,t_end,t_span,t_start,validation_log_posterior
categorical,0.27,0.25,medium_early,-0.4636823512703734,1.0278143529296522,15.0,0.1,40.0,try_unobserved_category,0.5,0.0,0.29340091597740814,0,-0.05344326837776042,rmse_coverage_predictive,1,94,13.0,13.0,0.0,
categorical,0.3791666666666667,0.25,medium_early,-0.49611955686004844,1.0204189899466498,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.2992859911987168,0,-0.032437205589675056,rmse_coverage_predictive,2,108,13.0,13.0,0.0,
categorical,0.365,0.25,short_early,-0.49813513555943195,1.0566002930116118,15.0,0.1,40.0,try_unobserved_category,0.0,0.0,0.30122510625827076,0,-0.0020155786993835134,rmse_coverage_predictive,3,122,2.0,2.0,0.0,
categorical,0.375,0.25,short_middle,-0.5439728667822815,1.1267852445124753,15.0,0.1,40.0,try_unobserved_category,0.0,0.5,0.337544342331034,0,-0.045837731222849565,rmse_coverage_predictive,4,136,21.0,2.0,19.0,
categorical,0.36083333333333334,0.25,long_late,-0.49364522303092756,1.0700098727651768,15.0,0.1,40.0,try_unobserved_category,1.0,1.0,0.29643590242107654,0,0.050327643751353957,rmse_coverage_predictive,5,150,40.0,24.0,16.0,
categorical,0.28750000000000003,0.25,long_late,-0.47504242033520205,1.068690647876182,15.0,0.1,40.0,exploit_best_observed,1.0,1.0,0.2962983555475838,0,0.018602802695725507,rmse_coverage_predictive,6,164,40.0,24.0,16.0,
categorical,0.4091666666666667,0.25,long_middle,-0.514622146313549,1.0874248987255732,15.0,0.1,40.0,try_unobserved_category,1.0,0.5,0.30358798977432494,0,-0.039579725978346914,rmse_coverage_predictive,7,178,32.0,24.0,8.0,
categorical,0.39666666666666667,0.25,medium_middle,-0.49987871461156375,1.0479536723808525,15.0,0.1,40.0,try_unobserved_category,0.5,0.5,0.2959166807068118,0,0.014743431701985221,rmse_coverage_predictive,8,192,26.5,13.0,13.5,
categorical,0.33166666666666667,0.25,medium_late,-0.4616972743358264,1.131940375891208,15.0,0.1,40.0,try_unobserved_category,0.5,1.0,0.2655865700800389,0,0.03818144027573733,rmse_coverage_predictive,9,206,40.0,13.0,27.0,
categorical,0.37166666666666665,0.25,long_early,-0.4859068832214149,1.0034647119367952,15.0,0.1,40.0,try_unobserved_category,1.0,0.0,0.29264374536106874,0,-0.024209608885588485,rmse_coverage_predictive,10,220,24.0,24.0,0.0,
categorical,0.3741666666666667,0.25,short_late,-0.48855983597348196,1.0523694379626436,15.0,0.1,40.0,try_unobserved_category,0.0,1.0,0.2897812255105509,0,-0.0026529527520670615,rmse_coverage_predictive,11,234,40.0,2.0,38.0,
categorical,0.3583333333333334,0.25,medium_late,-0.48248777944652244,1.1451378770052896,15.0,0.1,40.0,categorical_ucb,0.5,1.0,0.27839065841266014,0,0.006072056526959524,rmse_coverage_predictive,12,248,40.0,13.0,27.0,
categorical,0.3658333333333334,0.25,medium_middle,-0.46941384337978453,1.0812401513317806,15.0,0.1,40.0,categorical_ucb,0.5,0.5,0.26983149491327313,0,0.013073936066737901,rmse_coverage_predictive,13,262,26.5,13.0,13.5,
categorical,0.3700000000000001,0.25,short_early,-0.4682867175992754,1.1015682714108945,15.0,0.1,40.0,categorical_ucb,0.0,0.0,0.26562989045818597,0,0.0011271257805091084,rmse_coverage_predictive,14,276,2.0,2.0,0.0,
categorical,0.2783333333333334,0.25,long_late,-0.43966936773229653,1.0851968718498413,15.0,0.1,40.0,exploit_best_observed,1.0,1.0,0.2615663472139791,0,0.02861734986697889,rmse_coverage_predictive,15,290,40.0,24.0,16.0,
categorical,0.3775,0.25,short_late,-0.4894406406033197,1.1221559341593648,15.0,0.1,40.0,categorical_ucb,0.0,1.0,0.28285004718738327,0,-0.049771272871023176,rmse_coverage_predictive,16,304,40.0,2.0,38.0,
categorical,0.3266666666666667,0.25,long_early,-0.4304906758296673,0.9949647759358977,15.0,0.1,40.0,categorical_ucb,1.0,0.0,0.2493275315694109,0,0.058949964773652386,rmse_coverage_predictive,17,318,24.0,24.0,0.0,
categorical,0.37000000000000005,0.25,long_middle,-0.4887798136925337,1.1494742129776663,15.0,0.1,40.0,categorical_ucb,1.0,0.5,0.28133239239476704,0,-0.05828913786286638,rmse_coverage_predictive,18,332,32.0,24.0,8.0,
categorical,0.34,0.25,short_middle,-0.4735493009195818,1.1352656297136714,15.0,0.1,40.0,categorical_ucb,0.0,0.5,0.27502273794821464,0,0.015230512772951899,rmse_coverage_predictive,19,346,21.0,2.0,19.0,
categorical,0.37333333333333335,0.25,long_early,-0.46819997423572574,1.0417891185812584,15.0,0.1,40.0,exploit_best_observed,1.0,0.0,0.2706877290442666,0,0.0053493266838560705,rmse_coverage_predictive,20,360,24.0,24.0,0.0,
categorical,0.3591666666666667,0.25,medium_late,-0.4718233609259479,1.1102304058805785,15.0,0.1,40.0,categorical_ucb,0.5,1.0,0.2710086536712234,0,-0.0036233866902221634,rmse_coverage_predictive,21,374,40.0,13.0,27.0,
categorical,0.375,0.25,medium_middle,-0.5197910232283162,1.3344938519059026,15.0,0.1,40.0,categorical_ucb,0.5,0.5,0.29259163803772587,0,-0.047967662302368264,rmse_coverage_predictive,22,388,26.5,13.0,13.5,
categorical,0.3333333333333333,0.25,long_early,-0.4610153487057695,0.9970752331198102,15.0,0.1,40.0,exploit_best_observed,1.0,0.0,0.27797449206045516,0,0.05877567452254667,rmse_coverage_predictive,23,402,24.0,24.0,0.0,
categorical,0.37000000000000005,0.25,short_early,-0.47270832577124067,1.0561030584981457,15.0,0.1,40.0,categorical_ucb,0.0,0.0,0.2745980199214261,0,-0.011692977065471177,rmse_coverage_predictive,24,416,2.0,2.0,0.0,
categorical,0.30250000000000005,0.25,short_middle,-0.43200058184554124,1.0300691249256446,15.0,0.1,40.0,categorical_ucb,0.0,0.5,0.25336866935297675,0,0.040707743925699424,rmse_coverage_predictive,25,430,21.0,2.0,19.0,
categorical,0.2816666666666667,0.25,short_late,-0.44266949923287985,1.1362902635732115,15.0,0.1,40.0,categorical_ucb,0.0,1.0,0.258623806208892,0,-0.010668917387338606,rmse_coverage_predictive,26,444,40.0,2.0,38.0,
categorical,0.37083333333333335,0.25,medium_early,-0.47614203827442586,1.0718314048147612,15.0,0.1,40.0,categorical_ucb,0.5,0.0,0.2762505644596164,0,-0.03347253904154601,rmse_coverage_predictive,27,458,13.0,13.0,0.0,
categorical,0.25916666666666666,0.25,long_middle,-0.41827688094131,1.0122650404075442,15.0,0.1,40.0,categorical_ucb,1.0,0.5,0.25225871023388896,0,0.05786515733311587,rmse_coverage_predictive,28,472,32.0,24.0,8.0,
categorical,0.3708333333333334,0.25,long_late,-0.48208637299559554,1.032019928238986,15.0,0.1,40.0,categorical_ucb,1.0,1.0,0.2861760468383636,0,-0.06380949205428554,rmse_coverage_predictive,29,486,40.0,24.0,16.0,
categorical,0.41,0.25,medium_late,-0.45217174596703336,1.0423749504987585,15.0,0.1,40.0,categorical_ucb,0.5,1.0,0.2454342509171575,0,0.02991462702856218,rmse_coverage_predictive,30,500,40.0,13.0,27.0,
categorical,0.31583333333333335,0.25,long_middle,-0.4352526903106888,0.9397037896597867,15.0,0.1,40.0,try_unobserved_category,1.0,0.5,0.26232397801137675,1,-0.03456625737165003,rmse_coverage_predictive,1,94,32.0,24.0,8.0,
categorical,0.2791666666666667,0.25,medium_middle,-0.4498976846563122,0.966230203631094,15.0,0.1,40.0,try_unobserved_category,0.5,0.5,0.28348299762653606,1,-0.014644994345623386,rmse_coverage_predictive,2,108,26.5,13.0,13.5,
categorical,0.35166666666666674,0.25,medium_middle,-0.44682290252771106,0.9869424603492417,15.0,0.1,40.0,exploit_best_observed,0.5,0.5,0.2602119898261202,1,0.003074782128601128,rmse_coverage_predictive,3,122,26.5,13.0,13.5,
categorical,0.32083333333333336,0.25,short_late,-0.4514620526840056,0.9449220872944298,15.0,0.1,40.0,try_unobserved_category,0.0,1.0,0.2767615106212293,1,-0.004639150156294514,rmse_coverage_predictive,4,136,40.0,2.0,38.0,
categorical,0.23083333333333336,0.25,medium_early,-0.388434761646905,0.9121103614650182,15.0,0.1,40.0,try_unobserved_category,0.5,0.0,0.23951539216706982,1,0.06302729103710059,rmse_coverage_predictive,5,150,13.0,13.0,0.0,
categorical,0.29583333333333334,0.25,medium_early,-0.41706568758681284,0.9550878145352779,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.2475985727999517,1,-0.028630925939907848,rmse_coverage_predictive,6,164,13.0,13.0,0.0,
categorical,0.31000000000000005,0.25,long_early,-0.421502821528241,0.9166665395239719,15.0,0.1,40.0,try_unobserved_category,1.0,0.0,0.25233616757584376,1,-0.00443713394142814,rmse_coverage_predictive,7,178,24.0,24.0,0.0,
categorical,0.30833333333333335,0.25,medium_late,-0.4077407786156072,0.8972297619030793,15.0,0.1,40.0,try_unobserved_category,0.5,1.0,0.24093446909196592,1,0.013762042912633776,rmse_coverage_predictive,8,192,40.0,13.0,27.0,
categorical,0.2816666666666667,0.25,short_middle,-0.4110925591021565,0.957703358535621,15.0,0.1,40.0,try_unobserved_category,0.0,0.5,0.2449055565819277,1,-0.0033517804865492717,rmse_coverage_predictive,9,206,21.0,2.0,19.0,
categorical,0.37000000000000005,0.25,short_early,-0.4531953521719606,0.9742694866292763,15.0,0.1,40.0,try_unobserved_category,0.0,0.0,0.26326840350903297,1,-0.042102793069804134,rmse_coverage_predictive,10,220,2.0,2.0,0.0,
categorical,0.19333333333333336,0.25,medium_early,-0.386506098261469,0.9566019221980188,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.24251257270833376,1,0.06668925391049163,rmse_coverage_predictive,11,234,13.0,13.0,0.0,
categorical,0.3016666666666667,0.25,long_late,-0.42975100189967885,1.0023746389175174,15.0,0.1,40.0,try_unobserved_category,1.0,1.0,0.2540968713412604,1,-0.043244903638209875,rmse_coverage_predictive,12,248,40.0,24.0,16.0,
categorical,0.39166666666666666,0.25,medium_late,-0.44022672279983655,0.9631320609120729,15.0,0.1,40.0,categorical_ucb,0.5,1.0,0.2459968500419626,1,-0.010475720900157692,rmse_coverage_predictive,13,262,40.0,13.0,27.0,
categorical,0.31,0.25,short_middle,-0.4389348888558173,0.9317499024512522,15.0,0.1,40.0,categorical_ucb,0.0,0.5,0.26825989861069205,1,0.0012918339440192717,rmse_coverage_predictive,14,276,21.0,2.0,19.0,
categorical,0.3325,0.25,medium_early,-0.43882461586539523,0.9667627183763399,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.2590233440277612,1,0.00011027299042204453,rmse_coverage_predictive,15,290,13.0,13.0,0.0,
categorical,0.3175,0.25,medium_early,-0.42928362704866846,0.9791756152451176,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.25199106552415673,1,0.00954098881672677,rmse_coverage_predictive,16,304,13.0,13.0,0.0,
categorical,0.3383333333333334,0.25,medium_early,-0.43949377493609054,1.0049848159833632,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.25441196000442085,1,-0.010210147887422083,rmse_coverage_predictive,17,318,13.0,13.0,0.0,
categorical,0.295,0.25,long_early,-0.4165088564287053,0.91506767544898,15.0,0.1,40.0,categorical_ucb,1.0,0.0,0.2512520888838073,1,0.022984918507385266,rmse_coverage_predictive,18,332,24.0,24.0,0.0,
categorical,0.32833333333333337,0.25,short_late,-0.4331136823292949,0.9392446668961747,15.0,0.1,40.0,categorical_ucb,0.0,1.0,0.2571058823063441,1,-0.016604825900589648,rmse_coverage_predictive,19,346,40.0,2.0,38.0,
categorical,0.37916666666666665,0.25,long_middle,-0.42964732927470883,0.9282980138277185,15.0,0.1,40.0,categorical_ucb,1.0,0.5,0.2420258612252703,1,0.003466353054586091,rmse_coverage_predictive,20,360,32.0,24.0,8.0,
categorical,0.31916666666666665,0.25,medium_early,-0.4135990893410108,0.9448401075536342,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.23932341191898068,1,0.016048239933698027,rmse_coverage_predictive,21,374,13.0,13.0,0.0,
categorical,0.35166666666666674,0.25,short_early,-0.44943756021130343,1.0176757903445346,15.0,0.1,40.0,categorical_ucb,0.0,0.0,0.2597533145101833,1,-0.03583847087029263,rmse_coverage_predictive,22,388,2.0,2.0,0.0,
categorical,0.28500000000000003,0.25,long_late,-0.3953192603316389,0.8959788366416618,15.0,0.1,40.0,categorical_ucb,1.0,1.0,0.23447137666747264,1,0.054118299879664544,rmse_coverage_predictive,23,402,40.0,24.0,16.0,
categorical,0.31583333333333335,0.25,long_early,-0.41137771335086937,0.9313280000618941,15.0,0.1,40.0,categorical_ucb,1.0,0.0,0.23928658001134664,1,-0.01605845301923048,rmse_coverage_predictive,24,416,24.0,24.0,0.0,
categorical,0.30250000000000005,0.25,medium_early,-0.42316911705841753,0.9957202969178289,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.24797208736663462,1,-0.011791403707548165,rmse_coverage_predictive,25,430,13.0,13.0,0.0,
categorical,0.3858333333333333,0.25,long_late,-0.45480510885092285,0.9944837236123637,15.0,0.1,40.0,categorical_ucb,1.0,1.0,0.25889840315635315,1,-0.031635991792505314,rmse_coverage_predictive,26,444,40.0,24.0,16.0,
categorical,0.2866666666666667,0.25,medium_late,-0.38992894962751157,0.9097553655396408,15.0,0.1,40.0,categorical_ucb,0.5,1.0,0.22728674640688082,1,0.06487615922341128,rmse_coverage_predictive,27,458,40.0,13.0,27.0,
categorical,0.20250000000000004,0.25,short_middle,-0.35906960354873024,0.852909321095994,15.0,0.1,40.0,categorical_ucb,0.0,0.5,0.22315367143913079,1,0.030859346078781325,rmse_coverage_predictive,28,472,21.0,2.0,19.0,
categorical,0.32083333333333336,0.25,medium_middle,-0.42180385485114363,0.9406958719796309,15.0,0.1,40.0,categorical_ucb,0.5,0.5,0.2475259343198472,1,-0.06273425130241339,rmse_coverage_predictive,29,486,26.5,13.0,13.5,
categorical,0.29083333333333333,0.25,short_late,-0.40039915530648956,0.9622620913226749,15.0,0.1,40.0,categorical_ucb,0.0,1.0,0.23146461284088873,1,0.02140469954465407,rmse_coverage_predictive,30,500,40.0,2.0,38.0,
