coverage_error,method,posterior_mean_rmse,replicate,round,simulations
0.3546296296296297,random_fmpe,0.18823496764978315,0,0,120
0.35324074074074074,random_fmpe,0.1849051217699571,0,1,136
0.3699074074074074,random_fmpe,0.18240628942458698,0,2,152
0.3856481481481482,random_fmpe,0.17086332347859695,0,3,168
0.35694444444444445,random_fmpe,0.1669429626919265,0,4,184
0.32268518518518524,random_fmpe,0.16442779717814063,0,5,200
0.363425925925926,random_fmpe,0.16634332202191535,0,6,216
0.3703703703703704,random_fmpe,0.1808547374500445,0,7,232
0.3305555555555556,random_fmpe,0.16776044699254158,0,8,248
0.2925925925925926,random_fmpe,0.16222376195536903,0,9,264
0.31851851851851853,random_fmpe,0.163309680113759,0,10,280
0.26759259259259266,random_fmpe,0.14621784034324833,0,11,296
0.3337962962962963,random_fmpe,0.15512847562672216,0,12,312
0.31851851851851853,random_fmpe,0.1514665459473581,0,13,328
0.33287037037037037,random_fmpe,0.15450313903701202,0,14,344
0.2925925925925926,random_fmpe,0.1521134815446342,0,15,360
0.2550925925925926,random_fmpe,0.14713225729050197,0,16,376
0.2611111111111111,random_fmpe,0.1522645443826492,0,17,392
0.3060185185185185,random_fmpe,0.13932589981747862,0,18,408
0.2611111111111111,random_fmpe,0.14355748212284952,0,19,424
0.32916666666666666,random_fmpe,0.15103850620153925,0,20,440
0.2976851851851852,bo_fmpe,0.17451011029203084,0,0,120
0.32453703703703707,bo_fmpe,0.17488290212542756,0,1,136
0.3546296296296297,bo_fmpe,0.17596567258828208,0,2,152
0.40509259259259256,bo_fmpe,0.17446865379059728,0,3,168
0.36759259259259264,bo_fmpe,0.15983248569563455,0,4,184
0.3490740740740741,bo_fmpe,0.1581833005255027,0,5,200
0.2902777777777778,bo_fmpe,0.15820263803487936,0,6,216
0.34259259259259256,bo_fmpe,0.16066151288469835,0,7,232
0.36944444444444446,bo_fmpe,0.1587195723151637,0,8,248
0.27546296296296297,bo_fmpe,0.15370780154525587,0,9,264
0.3824074074074075,bo_fmpe,0.15617936158273485,0,10,280
0.2611111111111111,bo_fmpe,0.15039450143467212,0,11,296
0.34953703703703703,bo_fmpe,0.1596988024976741,0,12,312
0.3203703703703704,bo_fmpe,0.1542962376411783,0,13,328
0.2898148148148148,bo_fmpe,0.15203950213052755,0,14,344
0.2939814814814815,bo_fmpe,0.14912207490516605,0,15,360
0.3490740740740741,bo_fmpe,0.15576829157067676,0,16,376
0.38703703703703707,bo_fmpe,0.16021039608505536,0,17,392
0.31898148148148153,bo_fmpe,0.146629487880451,0,18,408
0.31250000000000006,bo_fmpe,0.1550094078479193,0,19,424
0.32916666666666666,bo_fmpe,0.15448187807439656,0,20,440
0.2837962962962963,random_fmpe,0.17476416464623368,1,0,120
0.35277777777777786,random_fmpe,0.17705561361794758,1,1,136
0.38518518518518524,random_fmpe,0.18427432907121952,1,2,152
0.3555555555555556,random_fmpe,0.17671193282481723,1,3,168
0.3745370370370371,random_fmpe,0.16885538049657167,1,4,184
0.38842592592592595,random_fmpe,0.1715788783359394,1,5,200
0.32731481481481484,random_fmpe,0.1668072478882854,1,6,216
0.32222222222222224,random_fmpe,0.15745992356459756,1,7,232
0.350462962962963,random_fmpe,0.16531427026177836,1,8,248
0.3013888888888889,random_fmpe,0.15349598095128958,1,9,264
0.3194444444444445,random_fmpe,0.15172889235581422,1,10,280
0.28935185185185186,random_fmpe,0.1508380503678038,1,11,296
0.37500000000000006,random_fmpe,0.1544273746814874,1,12,312
0.3162037037037037,random_fmpe,0.15095886246677181,1,13,328
0.32129629629629636,random_fmpe,0.15366935640789642,1,14,344
0.31759259259259265,random_fmpe,0.14440962526523726,1,15,360
0.2976851851851852,random_fmpe,0.1518811961422372,1,16,376
0.32546296296296295,random_fmpe,0.15004340209413122,1,17,392
0.3347222222222223,random_fmpe,0.14558547264316837,1,18,408
0.274537037037037,random_fmpe,0.14753817998718635,1,19,424
0.31018518518518523,random_fmpe,0.14176866075060252,1,20,440
0.35277777777777786,bo_fmpe,0.18857643084723186,1,0,120
0.399537037037037,bo_fmpe,0.18153907192787833,1,1,136
0.38472222222222224,bo_fmpe,0.17912112279854717,1,2,152
0.3828703703703704,bo_fmpe,0.16762202983515018,1,3,168
0.3888888888888889,bo_fmpe,0.1765550064325506,1,4,184
0.3805555555555556,bo_fmpe,0.17673447120433497,1,5,200
0.3782407407407408,bo_fmpe,0.1731529136064445,1,6,216
0.36759259259259264,bo_fmpe,0.16970428678268137,1,7,232
0.3546296296296297,bo_fmpe,0.15798531527960533,1,8,248
0.38981481481481484,bo_fmpe,0.15999109969941172,1,9,264
0.325,bo_fmpe,0.15926132660979933,1,10,280
0.30092592592592593,bo_fmpe,0.1525680769412087,1,11,296
0.3560185185185185,bo_fmpe,0.16383099217968972,1,12,312
0.2740740740740741,bo_fmpe,0.15459101545919762,1,13,328
0.3513888888888889,bo_fmpe,0.15632489644633374,1,14,344
0.3166666666666667,bo_fmpe,0.1505162323838827,1,15,360
0.3,bo_fmpe,0.15564996139481826,1,16,376
0.33101851851851855,bo_fmpe,0.15517760251079385,1,17,392
0.3106481481481482,bo_fmpe,0.15022676807963714,1,18,408
0.3375000000000001,bo_fmpe,0.15594695725916705,1,19,424
0.287962962962963,bo_fmpe,0.14480033310742937,1,20,440
0.275,random_fmpe,0.18480622318168677,2,0,120
0.4226851851851852,random_fmpe,0.19869971708183817,2,1,136
0.44027777777777777,random_fmpe,0.18464154540371014,2,2,152
0.3601851851851852,random_fmpe,0.18472447469325706,2,3,168
0.36435185185185187,random_fmpe,0.1656709118817544,2,4,184
0.3185185185185186,random_fmpe,0.16824271271012614,2,5,200
0.34120370370370373,random_fmpe,0.15838531459911945,2,6,216
0.3268518518518519,random_fmpe,0.16292965470652973,2,7,232
0.35324074074074074,random_fmpe,0.16154555090999917,2,8,248
0.3703703703703704,random_fmpe,0.16923642311471543,2,9,264
0.36157407407407405,random_fmpe,0.15595400887008498,2,10,280
0.27731481481481485,random_fmpe,0.15594259716088307,2,11,296
0.3444444444444444,random_fmpe,0.16018081937472617,2,12,312
0.3703703703703704,random_fmpe,0.1536443039838041,2,13,328
0.2935185185185185,random_fmpe,0.15192358586722357,2,14,344
0.32268518518518524,random_fmpe,0.14963100532766674,2,15,360
0.2731481481481482,random_fmpe,0.15620678882534658,2,16,376
0.3416666666666666,random_fmpe,0.1521603119725361,2,17,392
0.36388888888888893,random_fmpe,0.1590768121049985,2,18,408
0.32222222222222224,random_fmpe,0.15260182921177032,2,19,424
0.29490740740740745,random_fmpe,0.14685685775098922,2,20,440
0.2916666666666667,bo_fmpe,0.1747514537329725,2,0,120
0.3828703703703704,bo_fmpe,0.1788870052063705,2,1,136
0.337037037037037,bo_fmpe,0.17833327084494693,2,2,152
0.3074074074074074,bo_fmpe,0.17886030387204702,2,3,168
0.3439814814814815,bo_fmpe,0.16853730295904037,2,4,184
0.3819444444444445,bo_fmpe,0.17292521051789383,2,5,200
0.32083333333333336,bo_fmpe,0.1699300990858835,2,6,216
0.3268518518518519,bo_fmpe,0.16706720047324672,2,7,232
0.3458333333333334,bo_fmpe,0.1689788611857055,2,8,248
0.33425925925925926,bo_fmpe,0.17045239701431988,2,9,264
0.34074074074074073,bo_fmpe,0.16873990269031316,2,10,280
0.26203703703703707,bo_fmpe,0.1541214115520584,2,11,296
0.33240740740740743,bo_fmpe,0.16497317372129838,2,12,312
0.33101851851851855,bo_fmpe,0.16804622629285126,2,13,328
0.31574074074074077,bo_fmpe,0.16098294717452896,2,14,344
0.3217592592592593,bo_fmpe,0.15485957017422958,2,15,360
0.33564814814814814,bo_fmpe,0.1580162401922937,2,16,376
0.3601851851851852,bo_fmpe,0.16032718699147896,2,17,392
0.31712962962962965,bo_fmpe,0.14767753841178577,2,18,408
0.3601851851851852,bo_fmpe,0.16192370168730294,2,19,424
0.3712962962962963,bo_fmpe,0.15354562830011137,2,20,440
0.37777777777777777,random_fmpe,0.16998364022927787,3,0,120
0.3763888888888889,random_fmpe,0.17834584099127906,3,1,136
0.3574074074074074,random_fmpe,0.16548129079414484,3,2,152
0.34027777777777785,random_fmpe,0.17067547460337867,3,3,168
0.337037037037037,random_fmpe,0.16704553171503309,3,4,184
0.35740740740740745,random_fmpe,0.17374938911817095,3,5,200
0.3726851851851852,random_fmpe,0.15980953239491505,3,6,216
0.36435185185185187,random_fmpe,0.16401637176578845,3,7,232
0.3439814814814815,random_fmpe,0.15553803568609134,3,8,248
0.3268518518518519,random_fmpe,0.16178171184995993,3,9,264
0.31712962962962965,random_fmpe,0.1597283929617929,3,10,280
0.2532407407407407,random_fmpe,0.15643944421924807,3,11,296
0.312962962962963,random_fmpe,0.15644012439871285,3,12,312
0.3393518518518519,random_fmpe,0.15554042720696581,3,13,328
0.33888888888888885,random_fmpe,0.15339662280508595,3,14,344
0.3101851851851852,random_fmpe,0.14865066923204226,3,15,360
0.30277777777777776,random_fmpe,0.16081632033126503,3,16,376
0.2606481481481482,random_fmpe,0.1494688223418332,3,17,392
0.3537037037037038,random_fmpe,0.1520310137779012,3,18,408
0.30833333333333335,random_fmpe,0.14411873878372394,3,19,424
0.3287037037037037,random_fmpe,0.14592694333782943,3,20,440
0.3074074074074074,bo_fmpe,0.18506585771673106,3,0,120
0.3768518518518518,bo_fmpe,0.17725274670848584,3,1,136
0.3300925925925926,bo_fmpe,0.1775216052415877,3,2,152
0.3712962962962963,bo_fmpe,0.18625613105527292,3,3,168
0.3828703703703704,bo_fmpe,0.18386883315007427,3,4,184
0.3583333333333334,bo_fmpe,0.1818538208833372,3,5,200
0.3615740740740741,bo_fmpe,0.1865875943414742,3,6,216
0.29814814814814816,bo_fmpe,0.17657001562085267,3,7,232
0.29398148148148145,bo_fmpe,0.1710450920991558,3,8,248
0.37592592592592594,bo_fmpe,0.17723427793977345,3,9,264
0.362962962962963,bo_fmpe,0.17704223028288268,3,10,280
0.2763888888888889,bo_fmpe,0.1712268769686832,3,11,296
0.3083333333333334,bo_fmpe,0.17294787584182775,3,12,312
0.33657407407407414,bo_fmpe,0.16474894553996444,3,13,328
0.33564814814814814,bo_fmpe,0.160867552460908,3,14,344
0.2837962962962963,bo_fmpe,0.15319627044904946,3,15,360
0.3444444444444445,bo_fmpe,0.15313164058251014,3,16,376
0.387962962962963,bo_fmpe,0.16025931346430017,3,17,392
0.31712962962962965,bo_fmpe,0.15696907195300797,3,18,408
0.32083333333333336,bo_fmpe,0.14932481309298754,3,19,424
0.3087962962962963,bo_fmpe,0.15098381526652718,3,20,440
0.3240740740740741,random_fmpe,0.17001310778798076,4,0,120
0.3824074074074075,random_fmpe,0.1807815878208373,4,1,136
0.35092592592592603,random_fmpe,0.16817525980980436,4,2,152
0.3537037037037038,random_fmpe,0.17176024978960772,4,3,168
0.3421296296296297,random_fmpe,0.1671049082920959,4,4,184
0.3430555555555556,random_fmpe,0.17714717079376277,4,5,200
0.37592592592592594,random_fmpe,0.174897102909384,4,6,216
0.4134259259259259,random_fmpe,0.16281858273361569,4,7,232
0.30416666666666664,random_fmpe,0.16118410517626017,4,8,248
0.37453703703703706,random_fmpe,0.16379799661902517,4,9,264
0.3370370370370371,random_fmpe,0.15741819865428747,4,10,280
0.3527777777777778,random_fmpe,0.15610158430311047,4,11,296
0.34907407407407415,random_fmpe,0.16058347126637482,4,12,312
0.32083333333333336,random_fmpe,0.15270362946560728,4,13,328
0.3314814814814815,random_fmpe,0.1555299059555131,4,14,344
0.32037037037037036,random_fmpe,0.15267675584635365,4,15,360
0.3546296296296297,random_fmpe,0.14329361257315787,4,16,376
0.3166666666666667,random_fmpe,0.14990949309893492,4,17,392
0.3342592592592593,random_fmpe,0.14386968612521311,4,18,408
0.3236111111111111,random_fmpe,0.13945850040271465,4,19,424
0.3268518518518519,random_fmpe,0.14469188586041556,4,20,440
0.30092592592592593,bo_fmpe,0.17289381564028955,4,0,120
0.37546296296296294,bo_fmpe,0.18194932828005903,4,1,136
0.37916666666666665,bo_fmpe,0.17657710179601455,4,2,152
0.3962962962962963,bo_fmpe,0.1771756339359575,4,3,168
0.27546296296296297,bo_fmpe,0.17654047845039272,4,4,184
0.3212962962962963,bo_fmpe,0.16956887703423876,4,5,200
0.34027777777777785,bo_fmpe,0.16843180822774714,4,6,216
0.3347222222222222,bo_fmpe,0.1733657792274854,4,7,232
0.3643518518518518,bo_fmpe,0.16989734096991702,4,8,248
0.3217592592592593,bo_fmpe,0.16946374207145526,4,9,264
0.3375000000000001,bo_fmpe,0.15395764816226323,4,10,280
0.2569444444444445,bo_fmpe,0.15779810211540646,4,11,296
0.31203703703703706,bo_fmpe,0.1492701824973001,4,12,312
0.31203703703703706,bo_fmpe,0.15454633840422138,4,13,328
0.30092592592592593,bo_fmpe,0.15441062709160142,4,14,344
0.26481481481481484,bo_fmpe,0.15016639248247216,4,15,360
0.2976851851851852,bo_fmpe,0.14812648132580683,4,16,376
0.3263888888888889,bo_fmpe,0.153169662731141,4,17,392
0.32037037037037036,bo_fmpe,0.14795840749690028,4,18,408
0.2833333333333334,bo_fmpe,0.146253488039515,4,19,424
0.28425925925925927,bo_fmpe,0.14966818652005787,4,20,440
